iter	Passed	Remaining
1024	55901	25905
1025	55963	25854
1026	56021	25801
1027	56080	25749
1028	56134	25694
1029	56191	25640
1030	56244	25585
1031	56299	25531
1032	56353	25476
1033	56409	25422
1034	56464	25368
1035	56521	25314
1036	56578	25261
1037	56633	25206
1038	56691	25153
1039	56749	25100
1040	56798	25043
1041	56919	25018
1042	56980	24966
1043	57041	24914
1044	57106	24864
1045	57164	24811
1046	57224	24759
1047	57283	24706
1048	57334	24650
1049	57396	24598
1050	57452	24544
1051	57508	24490
1052	57568	24437
1053	57628	24385
1054	57682	24330
1055	57739	24276
1056	57830	24237
1057	57887	24183
1058	57943	24129
1059	58000	24075
1060	58064	24024
1061	58138	23978
1062	58195	23924
1063	58251	23870
1064	58314	23818
1065	58370	23764
1066	58423	23708
1067	58479	23654
1068	58534	23600
1069	58585	23543
1070	58640	23489
1071	58693	23433
1072	58749	23379
1073	58801	23323
1074	58859	23270
1075	58912	23214
1076	58960	23157
1077	59020	23104
1078	59081	23051
1079	59139	22998
1080	59196	22944
1081	59254	22891
1082	59314	22838
1083	59375	22785
1084	59430	22731
1085	59488	22678
1086	59542	22623
1087	59597	22568
1088	59653	22513
1089	59708	22459
1090	59757	22402
1091	59815	22348
1092	59868	22293
1093	59926	22239
1094	59978	22183
1095	60035	22129
1096	60098	22078
1097	60155	22024
1098	60210	21969
1099	60265	21914
1100	60320	21860
1101	60375	21805
1102	60431	21750
1103	60487	21696
1104	60544	21642
1105	60614	21593
1106	60706	21551
1107	60765	21498
1108	60821	21443
1109	60877	21389
1110	60933	21335
1111	60990	21280
1112	61045	21226
1113	61115	21176
1114	61188	21127
1115	61258	21078
1116	61323	21026
1117	61384	20973
1118	61449	20922
1119	61504	20867
1120	61567	20815
1121	61627	20762
1122	61683	20707
1123	61735	20651
1124	61789	20596
1125	61842	20540
1126	61892	20484
1127	61950	20430
1128	62004	20375
1129	62060	20320
1130	62112	20264
1131	62162	20208
1132	62219	20154
1133	62279	20100
1134	62338	20047
1135	62394	19992
1136	62452	19938
1137	62508	19883
1138	62565	19829
1139	62621	19775
1140	62677	19720
1141	62734	19666
1142	62820	19620
1143	62878	19567
1144	62935	19512
1145	63003	19461
1146	63057	19406
1147	63112	19351
1148	63168	19296
1149	63222	19241
1150	63284	19188
1151	63343	19135
1152	63399	19080
1153	63452	19024
1154	63512	18971
1155	63571	18917
1156	63633	18864
1157	63693	18811
1158	63749	18756
1159	63806	18702
1160	63864	18647
1161	63921	18593
1162	63981	18539
1163	64040	18485
1164	64100	18432
1165	64156	18377
1166	64215	18323
1167	64270	18268
1168	64326	18214
1169	64381	18158
1170	64440	18105
1171	64498	18050
1172	64554	17996
1173	64611	17941
1174	64663	17885
1175	64715	17829
1176	64771	17775
1177	64825	17719
1178	64878	17664
1179	64946	17612
1180	65006	17558
1181	65065	17504
1182	65120	17449
1183	65175	17394
1184	65230	17339
1185	65291	17286
1186	65350	17232
1187	65409	17178
1188	65467	17123
1189	65525	17069
1190	65583	17015
1191	65641	16961
1192	65700	16906
1193	65758	16852
1194	65815	16797
1195	65871	16743
1196	65926	16688
1197	65983	16633
1198	66037	16578
1199	66094	16523
1200	66155	16469
1201	66217	16416
1202	66278	16362
1203	66336	16308
1204	66391	16253
1205	66443	16197
1206	66498	16142
1207	66555	16087
1208	66611	16032
1209	66667	15978
1210	66719	15922
1211	66776	15867
1212	66833	15813
1213	66887	15757
1214	66941	15702
1215	66993	15646
1216	67050	15591
1217	67105	15536
1218	67164	15482
1219	67222	15428
1220	67277	15373
1221	67334	15318
1222	67383	15261
1223	67438	15206
1224	67489	15150
1225	67549	15096
1226	67608	15042
1227	67664	14987
1228	67717	14931
1229	67777	14877
1230	67836	14823
1231	67895	14769
1232	67951	14714
1233	68008	14659
1234	68064	14604
1235	68120	14550
1236	68173	14494
1237	68230	14439
1238	68286	14384
1239	68337	14328
1240	68396	14274
1241	68449	14219
1242	68501	14163
1243	68557	14108
1244	68612	14053
1245	68668	13998
1246	68726	13943
1247	68796	13891
1248	68861	13838
1249	68914	13782
1250	68973	13728
1251	69026	13672
1252	69079	13617
1253	69139	13563
1254	69201	13509
1255	69265	13456
1256	69326	13402
1257	69381	13346
1258	69440	13292
1259	69496	13237
1260	69560	13183
1261	69612	13128
1262	69666	13072
1263	69723	13017
1264	69779	12963
1265	69832	12907
1266	69890	12852
1267	69942	12797
1268	69999	12742
1269	70053	12686
1270	70108	12631
1271	70164	12576
1272	70216	12521
1273	70274	12466
1274	70328	12410
1275	70388	12356
1276	70442	12301
1277	70495	12245
1278	70552	12190
1279	70611	12136
1280	70663	12080
1281	70717	12025
1282	70777	11970
1283	70837	11916
1284	70893	11861
1285	70952	11806
1286	71010	11752
1287	71065	11697
1288	71123	11642
1289	71177	11587
1290	71232	11531
1291	71292	11477
1292	71348	11422
1293	71404	11367
1294	71459	11312
1295	71513	11256
1296	71565	11201
1297	71627	11146
1298	71682	11091
1299	71734	11036
1300	71790	10980
1301	71850	10926
1302	71904	10871
1303	71962	10816
1304	72014	10760
1305	72071	10705
1306	72127	10650
1307	72183	10595
1308	72237	10540
1309	72291	10485
1310	72349	10430
1311	72407	10375
1312	72463	10320
1313	72518	10265
1314	72575	10210
1315	72632	10155
1316	72688	10100
1317	72748	10045
1318	72799	9989
1319	72852	9934
1320	72906	9879
1321	72958	9823
1322	73009	9767
1323	73062	9712
1324	73121	9657
1325	73177	9602
1326	73232	9547
1327	73286	9491
1328	73342	9436
1329	73402	9382
1330	73457	9327
1331	73514	9272
1332	73573	9217
1333	73632	9162
1334	73684	9107
1335	73741	9052
1336	73797	8996
1337	73849	8941
1338	73905	8886
1339	73960	8831
1340	74016	8775
1341	74075	8721
1342	74147	8668
1343	74208	8613
1344	74264	8558
1345	74320	8503
1346	74380	8448
1347	74438	8393
1348	74494	8338
1349	74547	8283
1350	74604	8228
1351	74658	8172
1352	74710	8117
1353	74765	8061
1354	74825	8007
1355	74884	7952
1356	74937	7896
1357	74989	7841
1358	75046	7786
1359	75096	7730
1360	75153	7675
1361	75210	7620
1362	75263	7565
1363	75321	7510
1364	75375	7454
1365	75428	7399
1366	75487	7344
1367	75542	7289
1368	75594	7233
1369	75651	7178
1370	75706	7123
1371	75757	7067
1372	75808	7012
1373	75867	6957
1374	75926	6902
1375	75979	6847
1376	76038	6792
1377	76094	6736
1378	76154	6682
1379	76208	6626
1380	76257	6571
1381	76312	6515
1382	76368	6460
1383	76426	6405
1384	76484	6350
1385	76538	6295
1386	76593	6240
1387	76649	6184
1388	76704	6129
1389	76761	6074
1390	76818	6019
1391	76875	5964
1392	76930	5909
1393	76986	5854
1394	77042	5798
1395	77097	5743
1396	77148	5688
1397	77203	5632
1398	77256	5577
1399	77308	5522
1400	77364	5466
1401	77416	5411
1402	77467	5355
1403	77521	5300
1404	77579	5245
1405	77637	5190
1406	77695	5135
1407	77748	5080
1408	77803	5024
1409	77860	4969
1410	77916	4914
1411	77970	4859
1412	78023	4803
1413	78078	4748
1414	78135	4693
1415	78188	4638
1416	78244	4583
1417	78301	4528
1418	78354	4472
1419	78412	4417
1420	78467	4362
1421	78520	4307
1422	78577	4251
1423	78629	4196
1424	78680	4141
1425	78729	4085
1426	78785	4030
1427	78843	3975
1428	78896	3919
1429	78955	3864
1430	79013	3809
1431	79067	3754
1432	79120	3699
1433	79177	3644
1434	79232	3588
1435	79288	3533
1436	79340	3478
1437	79393	3423
1438	79446	3367
1439	79499	3312
1440	79550	3257
1441	79607	3201
1442	79666	3146
1443	79722	3091
1444	79781	3036
1445	79836	2981
1446	79892	2926
1447	79950	2871
1448	80007	2815
1449	80058	2760
1450	80111	2705
1451	80166	2650
1452	80225	2595
1453	80285	2539
1454	80373	2485
1455	80434	2430
1456	80490	2375
1457	80542	2320
1458	80605	2265
1459	80661	2209
1460	80718	2154
1461	80774	2099
1462	80834	2044
1463	80887	1989
1464	80944	1933
1465	81003	1878
1466	81054	1823
1467	81112	1768
1468	81165	1712
1469	81220	1657
1470	81278	1602
1471	81332	1547
1472	81390	1491
1473	81442	1436
1474	81498	1381
1475	81549	1326
1476	81607	1270
1477	81662	1215
1478	81717	1160
1479	81772	1105
1480	81829	1049
1481	81883	994
1482	81941	939
1483	82000	884
1484	82054	828
1485	82112	773
1486	82172	718
1487	82228	663
1488	82283	607
1489	82338	552
1490	82397	497
1491	82448	442
1492	82499	386
1493	82556	331
1494	82616	276
1495	82665	221
1496	82724	165
1497	82780	110
1498	82832	55
1499	82888	0
