t,owner,stored_on,buyer,qty_kWh
33386,23,8,23,0.0029467377625143005
33403,17,8,17,0.33702554087798386
33403,22,24,22,0.296548823512369
33404,9,8,9,0.33157772419296433
33404,13,11,13,0.045529388254474945
33404,17,8,17,0.35534304977723186
33404,17,14,17,0.08472713794105857
33404,19,5,19,0.03255788808966056
33404,22,24,22,0.4053412855057559
33404,23,7,23,0.045058085848335594
33405,9,8,9,0.6300664540534284
33405,12,10,12,0.0038795431890110478
33405,12,20,12,0.0997673716156189
33405,12,21,12,0.02441355070501944
33405,13,20,13,0.04726428818144157
33405,17,8,17,0.04511968264951474
33405,17,14,17,0.38278532868381543
33405,19,1,19,0.08035844229056206
33405,19,2,19,0.10808359721907963
33405,19,3,19,0.04097323733770181
33405,19,5,19,0.12868321713746136
33405,22,24,22,0.31903962639881805
33405,22,25,22,0.07552379150856758
33405,23,7,23,0.046553408769744564
33406,9,8,9,0.44617040937325475
33406,12,10,12,0.05374109386848004
33406,12,11,12,0.25715309890182986
33406,12,21,12,0.016147193852200703
33406,13,20,13,0.03548594108370828
33406,13,21,13,0.008006792110299938
33406,17,8,17,0.078090359666977
33406,17,14,17,0.3126088781088212
33406,19,4,19,0.0884006549572959
33406,19,5,19,0.46039910648688853
33406,22,24,22,0.360304897354359
33406,23,7,23,0.04281514076424475
33407,9,8,9,0.1786139709172483
33407,12,11,12,0.13530228778733064
33407,12,14,12,0.01459480211630444
33407,13,11,13,0.03901612510328345
33407,17,8,17,0.2052553506877743
33407,17,14,17,0.15132717304155374
33407,19,7,19,0.16637348873023147
33407,19,25,19,0.15340942773613017
33407,22,20,22,0.3287454066698139
33407,23,24,23,0.03845497568845868
33408,13,8,13,0.036352507245759114
33408,17,8,17,0.15444387073692256
33408,22,11,22,0.030015425010146535
33408,22,14,22,0.1664212727963153
33408,23,11,23,0.0358606423623673
33409,13,8,13,0.02494963271817313
33409,23,8,23,0.02181169991792363
33427,9,8,9,0.7009667791840298
33427,9,14,9,0.273971757764369
33427,12,24,12,0.20854836384921338
33428,9,8,9,0.6810312306447757
33428,9,14,9,0.573712617832404
33428,12,7,12,0.14946144515334114
33428,12,24,12,0.4914455190067562
33428,12,25,12,0.22138584192298427
33428,17,10,17,0.0547888458399652
33428,17,14,17,0.05757980653594128
33428,17,20,17,0.1062630022383182
33428,17,21,17,0.02462489908669884
33429,9,8,9,0.6688965489252297
33429,9,14,9,0.5535029026553938
33429,12,7,12,0.48582115549020943
33429,12,24,12,0.13706252069933225
33429,12,25,12,0.21744116712972153
33429,15,24,15,0.0022354591429934348
33429,16,24,16,0.3628452656476386
33429,17,10,17,0.053812612774383484
33429,17,14,17,0.0665410909553521
33429,17,20,17,0.21284252351423838
33429,17,21,17,0.024186130203060242
33430,9,8,9,0.4608558177808368
33430,9,10,9,0.042586270415802034
33430,9,14,9,0.6147081995334233
33430,12,4,12,0.41431779227742543
33430,12,5,12,0.3568017075019865
33430,15,4,15,0.18078522010302528
33430,15,6,15,0.012161645976176921
33430,15,7,15,0.5315461109864051
33430,16,7,16,0.16772645142461076
33430,16,24,16,0.47811558616652516
